time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity_cmd,right_velocity_cmd,left_velocity_encoder,right_velocity_encoder,voltage
0.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
0.5,,,,,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
1.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0076,52.2296
1.5,,,,,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
2.0,,,,,0.0007,0.0022,0.0000,-0.0000,0.0000,0.0076,52.2449
2.5,,,,,-0.0000,-0.0167,0.0000,-0.0000,-0.0076,-0.0076,52.1990
3.0,,,,,-0.0003,0.0022,0.0000,-0.0000,0.0000,0.0076,52.2296
3.5,,,,,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
4.0,,,,,-0.0004,0.0000,0.0000,-0.0000,0.0000,0.0000,52.1990
4.5,,,,,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
5.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
5.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2755
6.5,0.0000,0.0000,0.0000,1.0000,0.0009,0.0011,0.0000,-0.0000,0.0000,-0.0076,52.2143
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1837
7.5,0.0000,0.0000,0.0000,1.0000,0.0003,-0.0056,0.0000,-0.0000,0.0000,-0.0076,52.1990
8.0,0.0000,0.0000,0.0000,1.0000,0.0039,-0.0122,0.0000,-0.0000,0.0076,-0.0153,52.1990
8.5,0.0000,0.0000,0.0000,1.0000,0.0014,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
9.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
10.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2602
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.1837
11.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2449
11.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
12.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.1684
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
13.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.1837
13.5,0.0000,0.0000,0.0000,1.0000,0.0040,0.0000,0.0000,-0.0000,0.0229,0.0000,52.2143
14.0,0.0000,0.0000,0.0000,1.0000,0.0001,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2755
14.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1531
15.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
15.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
16.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
16.5,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,-0.0229,52.1684
17.0,0.0000,0.0000,0.0000,1.0000,0.0005,-0.0011,0.0000,-0.0000,0.0000,-0.0076,52.1837
17.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
18.0,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,52.1837
18.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
19.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2143
19.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
20.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0044,0.0000,-0.0000,0.0000,0.0000,52.2296
20.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
21.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
21.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.1837
22.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.1684
22.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.1531
23.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2296
23.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2602
24.0,0.0000,0.0000,0.0000,1.0000,-0.0011,0.0033,0.0000,-0.0000,0.0000,0.0000,52.1684
24.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2296
25.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
25.5,0.0000,0.0000,0.0000,1.0000,0.0002,0.0033,0.0000,-0.0000,-0.0076,-0.0229,52.2602
26.0,0.0000,0.0000,0.0000,1.0000,0.0037,-0.0044,0.0000,-0.0000,0.0000,0.0000,52.2143
26.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
27.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.1990
27.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2296
28.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2143
28.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2296
29.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2449
29.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.2602
30.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.2143
30.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0044,0.0000,-0.0000,0.0000,0.0000,52.2296
31.0,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0056,0.0000,-0.0000,0.0000,0.0000,52.2296
31.5,0.0000,0.0000,0.0000,1.0000,0.0003,0.0211,0.0000,-0.0000,0.0000,-0.0076,52.2449
32.0,0.0000,0.0000,0.0000,1.0000,0.0071,-0.0144,0.0000,-0.0000,0.0076,-0.0153,52.2296
32.5,0.0000,0.0000,0.0000,1.0000,-0.0025,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.2296
33.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2602
33.5,0.0000,0.0000,0.0000,1.0000,-0.0019,-0.0122,0.0000,-0.0000,0.0000,0.0229,52.2296
34.0,0.0000,0.0000,0.0000,1.0000,-0.0063,-0.0556,0.0000,-0.0000,0.0000,0.0229,52.1224
34.5,0.0000,0.0000,0.0000,1.0000,-0.0181,-0.1867,0.0000,-0.0000,0.0153,0.0992,52.2449
35.0,0.0023,0.0000,-0.0527,0.9986,-0.0275,-0.1700,0.0327,-0.0513,0.0000,0.1221,52.2296
35.5,-0.0225,0.0038,-0.1074,0.9942,-0.0335,-0.1533,0.0233,-0.0374,0.0000,0.1221,52.2143
36.0,-0.0225,0.0038,-0.1074,0.9942,-0.0334,-0.1144,0.0231,-0.0380,0.0000,0.1221,52.2755
36.5,-0.0225,0.0038,-0.1074,0.9942,-0.0089,0.0044,0.0522,-0.0857,-0.0076,0.0153,52.2143
37.0,-0.0225,0.0038,-0.1074,0.9942,-0.0051,0.0111,0.0618,-0.1013,0.0000,0.0000,52.1837
37.5,-0.0225,0.0038,-0.1074,0.9942,0.0013,0.0144,0.0720,-0.1178,0.0000,0.0000,52.1990
38.0,-0.0225,0.0038,-0.1074,0.9942,0.0024,0.0156,0.0729,-0.1193,0.0000,-0.0153,52.2296
38.5,-0.0225,0.0038,-0.1074,0.9942,0.0065,0.0300,0.0785,-0.1280,0.0000,-0.0305,52.2143
39.0,-0.0225,0.0038,-0.1074,0.9942,0.0085,0.0467,0.0820,-0.1332,0.0000,-0.0305,52.1531
39.5,-0.0225,0.0038,-0.1074,0.9942,0.0099,0.0200,0.0847,-0.1370,0.0000,-0.0229,52.2296
40.0,-0.0225,0.0038,-0.1074,0.9942,0.0084,0.0411,0.0820,-0.1323,0.0000,-0.0305,52.2143
40.5,-0.0225,0.0038,-0.1074,0.9942,0.0359,0.1622,0.1201,-0.1907,0.0153,-0.1221,52.2143
41.0,-0.0165,0.0024,-0.0554,0.9985,0.0382,0.0700,0.1268,-0.1958,0.0153,-0.1221,52.1990
41.5,-0.0165,0.0024,-0.0554,0.9985,0.0533,-0.0767,0.1456,-0.2282,0.1450,-0.0763,52.1990
42.0,-0.0165,0.0024,-0.0554,0.9985,0.1038,0.0289,0.2121,-0.3339,0.2136,-0.2060,52.1990
42.5,0.0915,-0.0103,-0.0484,0.9988,0.1163,0.2178,0.2350,-0.3721,0.2136,-0.2060,52.2143
43.0,0.1544,-0.0125,0.0097,1.0000,0.1630,0.2833,0.3018,-0.4582,0.2166,-0.4349,52.2449
43.5,0.2277,-0.0070,0.0679,0.9977,0.2021,0.3456,0.3757,-0.5446,0.2823,-0.5417,52.1684
44.0,0.3124,0.0100,0.1326,0.9912,0.2632,0.3500,0.4777,-0.6574,0.3891,-0.6790,52.2143
44.5,0.4958,0.0859,0.2464,0.9692,0.3199,0.3200,0.5888,-0.7617,0.5112,-0.7172,52.1837
45.0,0.6104,0.1564,0.3105,0.9506,0.3485,0.3889,0.6668,-0.7943,0.5035,-0.7935,52.1837
45.5,0.6906,0.2239,0.3647,0.9311,0.3869,0.1811,0.7566,-0.8327,0.6790,-0.8392,52.1837
46.0,0.9079,0.4664,0.4361,0.8999,0.4515,-0.0233,0.8847,-0.9394,0.9003,-0.8926,52.2296
46.5,1.0035,0.5754,0.4285,0.9035,0.5232,-0.0533,1.0146,-1.0800,1.0223,-1.0147,52.2296
47.0,1.2160,0.8254,0.4202,0.9074,0.6051,0.0978,1.1056,-1.2826,1.1292,-1.2054,52.2296
47.5,1.4465,1.1220,0.4710,0.8821,0.6770,0.3744,1.2155,-1.4396,1.1978,-1.4420,52.1684
48.0,1.5906,1.3705,0.5439,0.8392,0.7562,0.4233,1.3995,-1.5499,1.2512,-1.5717,52.2449
48.5,1.7408,1.8226,0.6286,0.7778,0.8336,0.0711,1.6422,-1.5889,1.5488,-1.6098,52.1531
49.0,1.8203,2.1577,0.6215,0.7834,0.9084,-0.3956,1.8293,-1.6783,1.8616,-1.5869,52.1684
49.5,2.0228,2.6814,0.5131,0.8584,0.9819,-0.5167,1.9914,-1.6885,1.9989,-1.6174,52.1990
50.0,2.2434,3.0180,0.4175,0.9087,1.0121,-0.6989,2.0095,-1.6703,2.0905,-1.6022,52.1837
50.5,2.7062,3.3890,0.2291,0.9734,1.0045,-0.4900,1.9467,-1.7332,2.0447,-1.6632,52.2143
51.0,3.0700,3.5484,0.1503,0.9886,1.0186,-0.2411,1.9043,-1.7756,1.9150,-1.7548,52.2755
51.5,3.6289,3.7277,0.1027,0.9947,0.9999,-0.0867,1.9187,-1.7612,1.8616,-1.7929,52.2296
52.0,4.0086,3.8339,0.0926,0.9957,0.9945,-0.2311,1.9363,-1.7436,1.9226,-1.7700,52.1990
52.5,4.5887,3.9485,0.0231,0.9997,0.9966,-0.4033,1.9603,-1.7196,1.9608,-1.7242,52.2143
53.0,4.9771,3.9420,-0.0590,0.9983,0.9874,-0.4589,1.7707,-1.5965,1.8921,-1.6327,52.1837
53.5,5.5164,3.8035,-0.1797,0.9837,0.8313,-0.3133,0.8758,-0.7593,1.2817,-1.1139,52.3521
54.0,5.7712,3.7082,-0.2204,0.9754,0.3825,-0.0756,-0.0314,-0.0314,0.7095,-0.6180,52.2908
54.5,5.8861,3.6730,-0.2280,0.9737,0.3072,-0.1667,-0.0025,-0.0025,0.1068,0.0000,52.2449
55.0,6.0069,3.6184,-0.2359,0.9718,0.0204,0.0133,-0.0679,-0.0679,0.1068,0.0000,52.1684
55.5,6.0069,3.6184,-0.2359,0.9718,0.0182,-0.0089,-0.0570,-0.0570,-0.0076,0.0000,52.1837
56.0,6.0069,3.6184,-0.2359,0.9718,-0.0051,-0.0067,-0.0574,-0.0574,0.0000,0.0000,52.2143
56.5,6.0069,3.6184,-0.2359,0.9718,-0.0085,0.0022,-0.0591,-0.0591,0.0000,0.0000,52.1990
57.0,6.0069,3.6184,-0.2359,0.9718,-0.0024,0.0000,-0.0612,-0.0612,0.0000,-0.0076,52.1990
57.5,6.0069,3.6184,-0.2359,0.9718,0.0002,0.0011,-0.0616,-0.0616,0.0000,-0.0076,52.1531
58.0,6.0069,3.6184,-0.2359,0.9718,0.0011,0.0267,-0.0700,-0.0700,0.0000,-0.0229,52.2296
58.5,6.0069,3.6184,-0.2359,0.9718,0.0053,0.0644,-0.0821,-0.0821,0.0000,-0.0229,52.2296
59.0,6.0069,3.6184,-0.2359,0.9718,0.0055,0.1167,-0.1014,-0.1014,0.0000,-0.0229,52.2143
59.5,6.0069,3.6184,-0.2359,0.9718,0.0292,0.1767,-0.1257,-0.1257,0.0000,-0.1068,52.2143
60.0,6.0715,3.5856,-0.1766,0.9843,0.0289,0.2122,-0.1383,-0.1383,0.0000,-0.1068,52.2143
60.5,6.0747,3.5899,-0.1150,0.9934,0.0289,0.2133,-0.1404,-0.1404,0.0000,-0.1068,52.2449
61.0,6.0751,3.5963,-0.0532,0.9986,0.0394,0.2500,-0.1555,-0.1555,-0.0076,-0.1526,52.2143
61.5,6.0713,3.6027,0.0137,0.9999,0.0394,0.3000,-0.0641,-0.0641,-0.0076,-0.1526,52.2143
62.0,6.0673,3.6096,0.0806,0.9967,0.0001,0.0556,0.0390,0.0390,-0.0305,-0.0229,52.1684
62.5,6.0673,3.6096,0.0806,0.9967,-0.0162,0.2278,-0.0214,-0.0214,-0.1373,-0.0305,52.2755
63.0,6.0396,3.6135,0.1354,0.9908,-0.0297,0.1000,0.0193,0.0193,-0.1450,-0.0381,52.1684
63.5,6.0068,3.6110,0.1884,0.9821,-0.0295,0.0078,0.0553,0.0553,-0.1450,-0.0381,52.3521
