time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.6120
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.6579
1.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,-0.0229,49.5354
1.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5814
2.0,,,,,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5814
2.5,,,,,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5814
3.0,,,,,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5967
3.5,,,,,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5967
4.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5814
4.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5967
5.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5508
5.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5814
6.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.5967
6.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5967
7.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5661
7.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.6120
8.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5814
