time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity_cmd,right_velocity_cmd,left_velocity_encoder,right_velocity_encoder,voltage
0.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
0.5,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0229,52.2143
1.0,,,,,-0.0042,-0.0011,0.0000,-0.0000,-0.0229,0.0000,52.2296
1.5,,,,,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,52.2755
2.0,,,,,-0.0161,0.0156,0.0000,-0.0000,0.0153,0.0839,52.2449
2.5,,,,,0.0010,-0.0078,0.0000,-0.0000,-0.0076,-0.0153,52.2602
3.0,,,,,0.0018,0.0022,0.0000,-0.0000,0.0000,-0.0076,52.3367
3.5,,,,,0.0018,0.0000,0.0000,-0.0000,0.0000,-0.0153,52.2449
4.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.3214
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,52.3214
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2755
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,52.2755
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,52.2755
7.5,0.0000,0.0000,0.0000,1.0000,-0.0003,-0.0044,0.0000,-0.0000,0.0000,0.0076,52.2449
8.0,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2755
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,52.2908
9.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0033,0.0000,-0.0000,0.0000,0.0000,52.2755
9.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,52.2908
