time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.7141
0.5,,,,,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0076,50.7754
1.0,,,,,0.0000,0.0011,0.0000,-0.0000,-0.0076,0.0076,50.7141
1.5,,,,,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,50.7601
2.0,,,,,-0.0004,0.0011,0.0000,-0.0000,0.0000,0.0000,50.7294
2.5,,,,,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,50.7141
3.0,,,,,0.0006,-0.0033,0.0000,-0.0000,0.0000,0.0000,50.7141
3.5,,,,,-0.0000,0.0011,0.0000,-0.0000,0.0076,0.0000,50.6529
4.0,0.0000,0.0000,0.0000,1.0000,0.0006,0.0022,0.0000,-0.0000,0.0000,0.0000,50.7294
4.5,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0022,0.0000,-0.0000,0.0000,0.0076,50.7601
5.0,0.0000,0.0000,0.0000,1.0000,0.0007,-0.0011,0.0000,-0.0000,0.0000,-0.0229,50.7448
5.5,0.0000,0.0000,0.0000,1.0000,0.0010,0.0033,0.0000,-0.0000,0.0000,0.0000,50.7294
6.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0022,0.0000,-0.0000,0.0000,-0.0076,50.7601
6.5,0.0000,0.0000,0.0000,1.0000,0.0010,0.0022,0.0000,-0.0000,0.0076,0.0000,50.7601
7.0,0.0000,0.0000,0.0000,1.0000,0.0012,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.7294
7.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
8.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.7601
8.5,0.0000,0.0000,0.0000,1.0000,0.0008,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
9.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.7448
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.7448
10.0,0.0000,0.0000,0.0000,1.0000,0.0021,-0.0033,0.0000,-0.0000,0.0000,0.0229,50.7448
10.5,0.0000,0.0000,0.0000,1.0000,0.0015,-0.0033,0.0000,-0.0000,0.0000,-0.0229,50.6988
11.0,0.0000,0.0000,0.0000,1.0000,0.0009,-0.0033,0.0000,-0.0000,0.0000,0.0000,50.6835
11.5,0.0000,0.0000,0.0000,1.0000,-0.0002,-0.0011,0.0000,-0.0000,0.0000,0.0076,50.7601
12.0,0.0000,0.0000,0.0000,1.0000,-0.0005,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.7294
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,50.7601
13.0,0.0000,0.0000,0.0000,1.0000,-0.0017,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.7448
13.5,0.0000,0.0000,0.0000,1.0000,-0.0002,-0.0022,0.0000,-0.0000,0.0000,0.0000,50.6682
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.7294
