time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,0.0000
0.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,0.0000
1.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,0.0000
1.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,0.0000
2.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,0.0000
2.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,0.0000
3.0,,,,,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.6732
3.5,,,,,-0.0001,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
4.0,,,,,-0.0004,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7344
4.5,,,,,-0.0007,-0.0022,0.0000,-0.0000,0.0000,0.0153,49.7191
5.0,,,,,-0.0026,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7038
5.5,0.0000,0.0000,0.0000,1.0000,-0.0007,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
6.0,0.0000,0.0000,0.0000,1.0000,0.0003,0.0011,0.0000,-0.0000,0.0000,0.0229,49.6885
6.5,0.0000,0.0000,0.0000,1.0000,-0.0034,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.6885
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7038
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.6885
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.6885
9.0,0.0000,0.0000,0.0000,1.0000,0.0013,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7038
9.5,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0229,49.7498
10.0,0.0000,0.0000,0.0000,1.0000,-0.0015,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
10.5,0.0000,0.0000,0.0000,1.0000,-0.0015,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
11.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7038
11.5,0.0000,0.0000,0.0000,1.0000,-0.0016,0.0022,0.0000,-0.0000,0.0000,0.0000,49.6885
12.0,0.0000,0.0000,0.0000,1.0000,-0.0018,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7191
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.6885
13.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7038
14.0,0.0000,0.0000,0.0000,1.0000,-0.0015,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7038
14.5,0.0000,0.0000,0.0000,1.0000,-0.1691,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.6732
15.0,0.0000,0.0000,0.0000,1.0000,0.0010,0.0011,0.0000,-0.0000,0.0000,0.0000,49.6885
15.5,0.0000,0.0000,0.0000,1.0000,0.0008,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.6885
16.0,0.0000,0.0000,0.0000,1.0000,0.0007,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7038
