time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0256,0.0000,-0.0000,0.0229,-0.0229,49.5201
0.5,,,,,0.0000,-0.3644,0.0000,-0.0000,0.1450,0.0839,49.5201
1.0,,,,,0.0000,-0.0233,0.0000,-0.0000,0.1450,0.0839,49.5048
1.5,,,,,0.0508,-0.0089,0.0000,-0.0000,0.1144,-0.1144,49.5048
2.0,,,,,0.0578,0.1644,0.0000,-0.0000,0.0153,-0.1526,49.5048
2.5,,,,,0.0227,0.0356,0.0000,-0.0000,0.0000,-0.0305,49.4589
3.0,,,,,0.0319,0.0756,0.0000,-0.0000,0.0229,-0.1373,49.5354
3.5,,,,,0.0116,-0.0156,0.0000,-0.0000,0.0000,-0.0076,49.4742
4.0,,,,,0.0022,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
4.5,0.0000,0.0000,0.0000,1.0000,0.0039,0.0044,0.0000,-0.0000,0.0000,0.0076,49.5048
5.0,0.0000,0.0000,0.0000,1.0000,-0.0007,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
5.5,0.0000,0.0000,0.0000,1.0000,-0.0051,0.0033,0.0000,-0.0000,-0.0153,0.0000,49.4742
6.0,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
6.5,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4742
7.0,0.0000,0.0000,0.0000,1.0000,-0.0001,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5508
7.5,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5354
8.0,0.0000,0.0000,0.0000,1.0000,-0.0030,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
8.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
9.0,0.0000,0.0000,0.0000,1.0000,-0.0013,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
9.5,0.0000,0.0000,0.0000,1.0000,-0.0008,0.0044,0.0000,-0.0000,0.0000,0.0000,49.4895
10.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4130
11.0,0.0000,0.0000,0.0000,1.0000,-0.0015,0.0033,0.0000,-0.0000,-0.0229,0.0000,49.5661
11.5,0.0000,0.0000,0.0000,1.0000,-0.0011,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
12.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.4589
12.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
13.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
15.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4589
16.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
16.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4589
17.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
17.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
18.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
18.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
19.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
19.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.4895
20.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5201
20.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
21.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
21.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.4895
22.0,0.0000,0.0000,0.0000,1.0000,-0.0011,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
22.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
23.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
23.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5048
24.0,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0011,0.0000,-0.0000,0.0000,0.0153,49.4895
24.5,0.0000,0.0000,0.0000,1.0000,0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
25.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
25.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
26.0,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
26.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
27.0,0.0000,0.0000,0.0000,1.0000,0.0015,0.0011,0.0000,-0.0000,0.0000,-0.0229,49.4895
27.5,0.0000,0.0000,0.0000,1.0000,-0.0017,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4589
28.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
28.5,0.0000,0.0000,0.0000,1.0000,-0.0030,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
29.0,0.0000,0.0000,0.0000,1.0000,0.0001,-0.0022,0.0000,-0.0000,0.0076,0.0000,49.4742
29.5,0.0000,0.0000,0.0000,1.0000,0.0028,0.0044,0.0000,-0.0000,-0.0076,0.0000,49.4895
30.0,0.0000,0.0000,0.0000,1.0000,-0.0008,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
30.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
31.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4742
31.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
32.0,0.0000,0.0000,0.0000,1.0000,-0.0008,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
32.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,-0.0076,0.0000,49.4742
33.0,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4589
33.5,0.0000,0.0000,0.0000,1.0000,-0.0002,0.0011,0.0000,-0.0000,-0.0153,0.0000,49.4895
34.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4742
34.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
35.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4589
35.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,-0.0153,49.4895
36.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0122,0.0550,-0.1290,0.0000,0.0000,49.4742
36.5,0.0000,0.0000,0.0000,1.0000,0.0073,0.1833,0.0621,-0.1413,-0.0305,-0.0687,49.4895
37.0,0.0036,-0.0000,0.0608,0.9981,0.0230,0.2344,0.0819,-0.1696,-0.0305,-0.1526,49.4895
37.5,0.0216,0.0031,0.1163,0.9932,0.0351,0.2556,0.1071,-0.2013,0.0000,-0.1984,49.5048
38.0,0.0388,0.0081,0.1661,0.9861,0.0548,0.2767,0.1470,-0.2390,0.0000,-0.1984,49.4895
38.5,0.0588,0.0166,0.2161,0.9764,0.0546,0.2656,0.1595,-0.2255,0.0000,-0.1984,49.4436
39.0,0.0792,0.0274,0.2668,0.9637,0.0637,0.1722,0.1865,-0.2312,0.1373,-0.2518,49.4742
39.5,0.1089,0.0486,0.3192,0.9477,0.1235,0.0944,0.2866,-0.3285,0.1984,-0.2823,49.5048
40.0,0.1089,0.0486,0.3192,0.9477,0.1806,0.0389,0.3906,-0.4191,0.3815,-0.3967,49.4742
40.5,0.2215,0.1427,0.3544,0.9351,0.2581,-0.0233,0.5218,-0.5608,0.5341,-0.5264,49.4742
41.0,0.3357,0.2441,0.3510,0.9364,0.3441,-0.0144,0.6665,-0.7412,0.7019,-0.7019,49.5201
41.5,0.4731,0.3607,0.3451,0.9386,0.4350,0.0189,0.8303,-0.9156,0.8469,-0.8698,49.5048
42.0,0.6104,0.4776,0.3516,0.9362,0.5102,0.0867,0.9685,-1.0661,0.9537,-1.0300,49.5354
42.5,0.8441,0.6805,0.3719,0.9283,0.5933,0.0722,1.1582,-1.1699,1.1292,-1.1673,49.4742
43.0,1.1051,0.9420,0.3847,0.9231,0.6671,-0.0133,1.3017,-1.3114,1.3275,-1.3351,49.4436
43.5,1.2966,1.1456,0.3814,0.9244,0.7533,0.1300,1.2942,-1.6284,1.3351,-1.5106,49.4742
44.0,1.6094,1.4860,0.4544,0.8908,0.8133,0.7289,1.3723,-1.7716,1.2741,-1.8234,49.4130
44.5,1.7612,1.7883,0.5821,0.8131,0.8457,0.6300,1.6033,-1.6825,1.4038,-1.8005,49.4589
45.0,1.8457,2.2969,0.6838,0.7296,0.9161,-0.3022,1.9394,-1.5694,1.8311,-1.5717,49.4742
45.5,1.9055,2.6767,0.6054,0.7959,0.9676,-1.0767,2.0779,-1.6020,2.1210,-1.3428,49.4742
46.0,2.2321,3.1753,0.3199,0.9474,0.9823,-0.9956,1.9603,-1.7196,2.1362,-1.5411,49.5201
46.5,2.5697,3.3770,0.1687,0.9857,1.0252,-0.1500,1.8431,-1.8368,1.9226,-1.8921,49.5201
47.0,3.1368,3.6076,0.1720,0.9851,1.0448,0.2611,1.9548,-1.7251,1.7319,-1.9150,49.4742
47.5,3.5029,3.7907,0.2066,0.9784,0.9696,-0.2656,2.0626,-1.6173,1.8387,-1.6403,49.4895
48.0,4.0283,4.0454,0.1128,0.9936,0.9510,-0.6700,2.0246,-1.6553,1.9989,-1.5717,49.4283
48.5,4.4017,4.0957,-0.0230,0.9997,0.9867,-0.6378,1.9241,-1.7558,2.0142,-1.6556,49.4895
49.0,4.9637,3.9999,-0.1646,0.9864,1.0137,0.0767,1.6542,-1.7877,1.7548,-1.8768,49.5201
49.5,5.3440,3.8920,-0.1266,0.9919,0.9225,0.6289,0.8158,-1.1636,1.1215,-1.6022,49.5967
50.0,5.8224,3.8534,0.0612,0.9981,0.4593,0.3233,0.0699,-0.0699,0.5341,-0.9613,49.4589
50.5,5.9523,3.8770,0.1045,0.9945,0.0711,-0.3256,0.0000,-0.0000,0.1831,0.0229,49.4895
51.0,6.0224,3.8960,0.0542,0.9985,0.0291,-0.0011,0.0000,-0.0000,0.1831,0.0229,49.4742
51.5,6.0224,3.8960,0.0542,0.9985,0.0082,-0.0133,0.0000,-0.0000,0.0000,0.0076,49.5201
52.0,6.0224,3.8960,0.0542,0.9985,-0.0107,-0.0133,0.0000,-0.0000,0.0000,0.0076,49.4895
52.5,6.0224,3.8960,0.0542,0.9985,-0.0084,-0.0033,0.0000,-0.0000,0.0000,0.0076,49.4895
53.0,6.0224,3.8960,0.0542,0.9985,-0.0046,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
53.5,6.0224,3.8960,0.0542,0.9985,-0.0033,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5967
54.0,6.0224,3.8960,0.0542,0.9985,-0.0023,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.5354
54.5,6.0224,3.8960,0.0542,0.9985,-0.0031,-0.0000,0.0000,-0.0000,0.0000,0.0076,49.5201
55.0,6.0224,3.8960,0.0542,0.9985,-0.0034,-0.0011,0.0000,-0.0000,0.0000,0.0153,49.4283
55.5,6.0224,3.8960,0.0542,0.9985,-0.0016,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
56.0,6.0224,3.8960,0.0542,0.9985,-0.0007,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
56.5,6.0224,3.8960,0.0542,0.9985,-0.0010,-0.0022,0.0000,-0.0000,0.0000,0.0076,49.5354
