time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5661
0.5,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,-0.0229,49.5048
1.0,,,,,0.0000,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.5354
1.5,,,,,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
2.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
2.5,,,,,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
3.0,,,,,-0.0019,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
3.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
4.0,,,,,0.0036,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
4.5,,,,,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
5.0,,,,,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
5.5,,,,,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
6.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
6.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
7.0,0.0000,0.0000,0.0000,1.0000,-0.0021,0.0022,0.0000,-0.0000,-0.0229,0.0000,49.5201
7.5,0.0000,0.0000,0.0000,1.0000,-0.0011,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
8.0,0.0000,0.0000,0.0000,1.0000,0.0040,0.0000,0.0000,-0.0000,0.0000,-0.0229,49.4895
8.5,0.0000,0.0000,0.0000,1.0000,0.0004,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
9.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5048
10.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.4895
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0044,0.0000,-0.0000,0.0000,0.0000,49.4130
11.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.5661
11.5,0.0000,0.0000,0.0000,1.0000,0.0032,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.5048
12.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5354
13.0,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.5048
13.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
14.0,0.0000,0.0000,0.0000,1.0000,-0.0041,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
14.5,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0011,0.0000,-0.0000,0.0229,0.0000,49.4742
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
15.5,0.0000,0.0000,0.0000,1.0000,-0.0008,0.0033,0.0000,-0.0000,0.0000,0.0000,49.4895
16.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
16.5,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,-0.0229,49.5048
17.0,0.0000,0.0000,0.0000,1.0000,0.0021,-0.0067,0.0000,-0.0000,0.0000,0.0000,49.4895
17.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.4742
18.0,0.0000,0.0000,0.0000,1.0000,-0.0006,-0.0033,0.0000,-0.0000,0.0000,-0.0076,49.4895
18.5,0.0000,0.0000,0.0000,1.0000,0.0010,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5048
19.0,0.0000,0.0000,0.0000,1.0000,0.0032,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
19.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
20.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
20.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
21.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5201
21.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.4742
22.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5201
22.5,0.0000,0.0000,0.0000,1.0000,0.0017,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
23.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4589
23.5,0.0000,0.0000,0.0000,1.0000,-0.0009,0.0011,0.0000,-0.0000,-0.0229,0.0000,49.4742
24.0,0.0000,0.0000,0.0000,1.0000,-0.0023,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
24.5,0.0000,0.0000,0.0000,1.0000,-0.0023,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
25.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.5508
25.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4742
26.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
26.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4742
27.0,0.0000,0.0000,0.0000,1.0000,0.0013,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
27.5,0.0000,0.0000,0.0000,1.0000,-0.0008,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5967
28.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
28.5,0.0000,0.0000,0.0000,1.0000,0.0018,0.0022,0.0000,-0.0000,0.0076,0.0000,49.5201
29.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
29.5,0.0000,0.0000,0.0000,1.0000,0.0004,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4589
30.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
30.5,0.0000,0.0000,0.0000,1.0000,-0.0034,0.0022,0.0000,-0.0000,-0.0076,0.0153,49.4895
31.0,0.0000,0.0000,0.0000,1.0000,0.0011,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5048
31.5,0.0000,0.0000,0.0000,1.0000,-0.0025,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
32.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4589
32.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4895
33.0,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
33.5,0.0000,0.0000,0.0000,1.0000,-0.0022,-0.0022,0.0000,-0.0000,0.0000,0.0153,49.5354
34.0,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0256,0.0000,-0.0000,0.0000,0.0000,49.5201
34.5,0.0000,0.0000,0.0000,1.0000,-0.0041,0.0056,0.0000,-0.0000,-0.0076,0.0000,49.5201
35.0,0.0000,0.0000,0.0000,1.0000,-0.0012,-0.0078,0.0000,-0.0000,0.0000,0.0076,49.5048
35.5,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5048
36.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5048
36.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
37.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5048
37.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0704,-0.1136,0.0000,0.0000,49.5048
38.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0704,-0.1136,0.0000,0.0000,49.5048
38.5,0.0000,0.0000,0.0000,1.0000,0.0028,0.0367,0.0736,-0.1182,0.0000,-0.0229,49.5201
39.0,0.0000,0.0000,0.0000,1.0000,0.0064,0.1644,0.0806,-0.1268,0.0000,-0.0229,49.5354
39.5,0.0005,0.0000,0.0530,0.9986,0.0300,0.1933,0.1110,-0.1671,0.0229,-0.1602,49.4742
40.0,0.0241,0.0042,0.1053,0.9944,0.0571,0.2211,0.1619,-0.2322,0.0305,-0.1755,49.5048
40.5,0.0530,0.0118,0.1625,0.9867,0.0742,0.2544,0.1882,-0.2543,0.0763,-0.2670,49.5048
41.0,0.0850,0.0243,0.2126,0.9771,0.0925,0.2789,0.2336,-0.2913,0.0687,-0.2670,49.5354
41.5,0.1185,0.0414,0.2621,0.9651,0.1396,0.1311,0.3122,-0.3690,0.2365,-0.3357,49.4742
