time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0033,0.0000,-0.0000,0.0000,-0.0229,49.3824
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0076,49.3671
1.0,,,,,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0076,49.3671
1.5,,,,,0.0021,-0.0000,0.0000,-0.0000,0.0000,-0.0076,49.3671
2.0,,,,,0.0021,-0.0011,0.0000,-0.0000,0.0000,-0.0076,49.3824
2.5,,,,,0.0003,0.0022,0.0000,-0.0000,0.0000,0.0000,49.3058
3.0,,,,,-0.0064,-0.0022,0.0000,-0.0000,0.0000,0.0229,49.3671
3.5,,,,,-0.0064,0.0011,0.0000,-0.0000,0.0000,0.0229,49.3824
4.0,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0033,0.0000,-0.0000,0.0000,-0.0076,49.4436
4.5,0.0000,0.0000,0.0000,1.0000,0.0022,0.0011,0.0000,-0.0000,0.0000,-0.0076,49.3211
5.0,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
5.5,0.0000,0.0000,0.0000,1.0000,0.0014,-0.0022,0.0000,-0.0000,0.0000,-0.0076,49.3671
6.0,0.0000,0.0000,0.0000,1.0000,0.0021,0.0011,0.0000,-0.0000,0.0000,-0.0076,49.3824
6.5,0.0000,0.0000,0.0000,1.0000,0.0006,0.0011,0.0000,-0.0000,0.0000,0.0000,49.2752
7.0,0.0000,0.0000,0.0000,1.0000,0.0027,-0.0022,0.0000,-0.0000,0.0153,0.0000,49.3671
7.5,0.0000,0.0000,0.0000,1.0000,0.0042,-0.0011,0.0000,-0.0000,0.0153,0.0000,49.3671
8.0,0.0000,0.0000,0.0000,1.0000,0.0042,0.0011,0.0000,-0.0000,0.0153,0.0000,49.3365
8.5,0.0000,0.0000,0.0000,1.0000,0.0015,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3365
9.0,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0022,0.0000,-0.0000,0.0000,0.0000,49.3977
