time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,-0.0153,49.4130
0.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3824
1.0,,,,,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.3518
1.5,,,,,0.0006,-0.0000,0.0000,-0.0000,0.0076,-0.0076,49.3518
2.0,,,,,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.3365
2.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3518
3.0,,,,,0.0001,-0.0000,0.0000,-0.0000,0.0000,-0.0076,49.3518
3.5,,,,,0.0010,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
4.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3671
4.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3977
5.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0056,0.0000,-0.0000,0.0000,0.0000,49.4742
5.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3977
6.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.3824
6.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.3977
7.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.3671
7.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
8.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4130
8.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4742
9.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.3365
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3977
10.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3518
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.3365
11.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3824
11.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.3671
12.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4283
13.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
13.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3365
14.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
14.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3824
15.0,0.0000,0.0000,0.0000,1.0000,-0.0015,-0.0022,0.0000,-0.0000,0.0000,0.0229,49.3824
15.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3977
16.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3824
16.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.3365
17.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.3977
17.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3518
18.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.3824
18.5,0.0000,0.0000,0.0000,1.0000,0.0021,0.0000,0.0000,-0.0000,0.0000,-0.0229,49.3824
19.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3671
19.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3518
20.0,0.0000,0.0000,0.0000,1.0000,0.0013,0.0033,0.0000,-0.0000,0.0000,-0.0076,49.3518
20.5,0.0000,0.0000,0.0000,1.0000,0.0026,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4130
21.0,0.0000,0.0000,0.0000,1.0000,-0.0003,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3518
21.5,0.0000,0.0000,0.0000,1.0000,0.0040,0.0022,0.0000,-0.0000,0.0000,-0.0229,49.3365
22.0,0.0000,0.0000,0.0000,1.0000,0.0034,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
22.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.3518
23.0,0.0000,0.0000,0.0000,1.0000,0.0015,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3977
23.5,0.0000,0.0000,0.0000,1.0000,-0.0013,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.3365
24.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.3671
24.5,0.0000,0.0000,0.0000,1.0000,0.0021,0.0011,0.0000,-0.0000,0.0000,0.0000,49.3671
25.0,0.0000,0.0000,0.0000,1.0000,-0.0007,-0.0000,0.0000,-0.0000,-0.0076,0.0000,49.3671
