time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0229,50.7141
0.5,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,50.6376
1.0,,,,,0.0007,0.0033,0.0000,-0.0000,0.0000,-0.0076,50.5917
1.5,,,,,0.0007,0.0033,0.0000,-0.0000,0.0000,0.0000,50.5764
2.0,,,,,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6682
2.5,,,,,-0.0006,0.0000,0.0000,-0.0000,0.0000,0.0000,50.6835
3.0,,,,,0.0016,0.0022,0.0000,-0.0000,0.0000,-0.0229,50.6529
3.5,,,,,0.0010,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
4.0,0.0000,0.0000,0.0000,1.0000,-0.0039,0.0000,0.0000,-0.0000,0.0000,0.0000,50.6223
4.5,0.0000,0.0000,0.0000,1.0000,0.0018,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
5.0,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0076,50.6529
5.5,0.0000,0.0000,0.0000,1.0000,-0.0020,0.0000,0.0000,-0.0000,0.0000,0.0000,50.6376
6.0,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0000,0.0000,-0.0000,0.0000,0.0076,50.5764
6.5,0.0000,0.0000,0.0000,1.0000,-0.0016,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6376
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,50.6376
7.5,0.0000,0.0000,0.0000,1.0000,-0.0025,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6376
8.0,0.0000,0.0000,0.0000,1.0000,-0.0005,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6376
8.5,0.0000,0.0000,0.0000,1.0000,-0.0017,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.6529
9.0,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0000,0.0000,-0.0000,0.0000,-0.0076,50.6988
9.5,0.0000,0.0000,0.0000,1.0000,0.0014,-0.0033,0.0000,-0.0000,0.0000,0.0000,50.6376
10.0,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6682
10.5,0.0000,0.0000,0.0000,1.0000,0.0008,-0.0044,0.0000,-0.0000,0.0000,0.0000,50.6376
11.0,0.0000,0.0000,0.0000,1.0000,0.0007,0.0000,0.0000,-0.0000,0.0000,0.0000,50.6376
11.5,0.0000,0.0000,0.0000,1.0000,0.0006,0.0000,0.0000,-0.0000,0.0000,0.0000,50.6223
12.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.5917
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6529
13.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,50.5917
