time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5201
0.5,,,,,0.0000,0.0044,0.0000,-0.0000,0.0000,0.0000,49.5508
1.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
1.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
2.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
2.5,,,,,-0.0009,-0.0000,0.0000,-0.0000,-0.0229,0.0000,49.5354
3.0,,,,,0.0011,0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
3.5,,,,,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5354
4.0,,,,,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5967
4.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
5.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5508
5.5,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
6.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5508
6.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5814
7.0,0.0000,0.0000,0.0000,1.0000,0.0010,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5967
7.5,0.0000,0.0000,0.0000,1.0000,0.0018,0.0067,0.0000,-0.0000,0.0000,-0.0153,49.5508
8.0,0.0000,0.0000,0.0000,1.0000,-0.0137,0.0489,0.0000,-0.0000,0.0000,-0.0381,49.6273
8.5,0.0000,0.0000,0.0000,1.0000,-0.0006,0.0700,0.0000,-0.0000,0.0076,0.0076,49.5508
9.0,0.0000,0.0000,0.0000,1.0000,0.0009,-0.0033,0.0000,-0.0000,0.0076,0.0000,49.5354
9.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
10.0,0.0000,0.0000,0.0000,1.0000,0.0119,-0.0944,0.0000,-0.0000,0.1068,-0.0229,49.5201
10.5,0.0000,0.0000,0.0000,1.0000,-0.0014,0.0044,0.0000,-0.0000,0.0000,0.0000,49.4895
11.0,0.0000,0.0000,0.0000,1.0000,0.0009,-0.0111,0.0000,-0.0000,0.0000,-0.0076,49.5201
11.5,0.0000,0.0000,0.0000,1.0000,0.0008,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.4895
12.0,0.0000,0.0000,0.0000,1.0000,0.0012,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5354
13.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.4895
13.5,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0011,0.0000,-0.0000,0.0000,-0.0076,49.5048
14.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
14.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
15.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5967
15.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5354
16.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5354
16.5,0.0000,0.0000,0.0000,1.0000,-0.0034,-0.0011,0.0000,-0.0000,0.0000,0.0229,49.5201
17.0,0.0000,0.0000,0.0000,1.0000,0.0012,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
17.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5508
18.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5967
18.5,0.0000,0.0000,0.0000,1.0000,-0.0005,-0.0022,0.0000,-0.0000,0.0000,-0.0076,49.5354
19.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5661
19.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
20.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.4742
20.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5354
21.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
21.5,0.0000,0.0000,0.0000,1.0000,0.0020,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5661
22.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
22.5,0.0000,0.0000,0.0000,1.0000,0.0001,0.0011,0.0000,-0.0000,0.0000,-0.0076,49.5354
23.0,0.0000,0.0000,0.0000,1.0000,0.0001,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5201
23.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5661
24.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5508
24.5,0.0000,0.0000,0.0000,1.0000,0.0008,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5354
25.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0044,0.0000,-0.0000,0.0000,0.0000,49.5201
25.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
26.0,0.0000,0.0000,0.0000,1.0000,0.0029,0.0000,0.0000,-0.0000,0.0000,0.0000,49.5201
26.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.4742
27.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5814
27.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5201
28.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.5508
28.5,0.0000,0.0000,0.0000,1.0000,0.0010,0.0044,0.0000,-0.0000,0.0000,0.0000,49.5967
29.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5508
29.5,0.0000,0.0000,0.0000,1.0000,-0.0001,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5508
30.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5201
30.5,0.0000,0.0000,0.0000,1.0000,0.0019,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
31.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5661
31.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
32.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.5967
32.5,0.0000,0.0000,0.0000,1.0000,0.0004,0.0022,0.0000,-0.0000,0.0000,-0.0229,49.5201
33.0,0.0000,0.0000,0.0000,1.0000,0.0035,-0.0033,0.0000,-0.0000,-0.0076,0.0000,49.5201
33.5,0.0000,0.0000,0.0000,1.0000,-0.0051,-0.0011,0.0000,-0.0000,0.0000,0.0229,49.4895
34.0,0.0000,0.0000,0.0000,1.0000,-0.0013,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5508
34.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.5967
35.0,0.0000,0.0000,0.0000,1.0000,0.0032,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.5201
35.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.4895
36.0,0.0000,0.0000,0.0000,1.0000,0.0004,0.0067,0.0000,-0.0000,0.0000,0.0000,49.5967
36.5,0.0000,0.0000,0.0000,1.0000,0.0008,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5201
37.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.5354
37.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.5201
38.0,0.0000,0.0000,0.0000,1.0000,0.0034,-0.0011,0.0000,-0.0000,0.0000,-0.0229,49.5201
38.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5354
39.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.6579
39.5,0.0000,0.0000,0.0000,1.0000,0.0025,0.0022,0.0000,-0.0000,0.0000,0.0000,49.5661
