time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,50.7141
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6835
1.0,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,50.6988
1.5,,,,,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.6988
2.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,50.7294
2.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.7141
3.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6835
3.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6835
4.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.6988
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,50.6988
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,50.6835
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.7294
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.7294
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.7141
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,50.7141
8.0,0.0000,0.0000,0.0000,1.0000,0.0010,-0.0011,0.0000,-0.0000,0.0229,0.0000,50.7141
8.5,0.0000,0.0000,0.0000,1.0000,0.0035,0.0022,0.0000,-0.0000,0.0000,0.0000,50.6988
9.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,50.6835
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.6835
10.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,50.6988
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,50.7294
11.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
11.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,50.6835
12.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
12.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.6988
13.0,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,50.6835
13.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,50.7141
