time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.8263
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.8416
1.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7957
1.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
2.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7957
2.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
3.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7804
3.5,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7651
4.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.8110
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7957
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7804
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7804
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.7804
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7804
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.8110
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7957
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7651
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.7804
9.0,0.0000,0.0000,0.0000,1.0000,0.0009,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7957
9.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.8416
10.0,0.0000,0.0000,0.0000,1.0000,-0.0026,0.0033,0.0000,-0.0000,0.0000,0.0000,49.7804
10.5,0.0000,0.0000,0.0000,1.0000,-0.0025,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7957
11.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7804
