time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
1.0,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7651
1.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
2.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
2.5,,,,,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7344
3.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7498
3.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
4.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.8110
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.7498
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7344
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
7.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7804
8.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
8.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7344
9.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7191
9.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7191
10.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
10.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7651
11.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
11.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
12.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
12.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7038
13.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.7651
13.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7651
14.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
14.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
15.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7344
15.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
16.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
16.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.6885
17.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7651
17.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
18.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
18.5,0.0000,0.0000,0.0000,1.0000,0.0018,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7038
19.0,0.0000,0.0000,0.0000,1.0000,0.0022,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
19.5,0.0000,0.0000,0.0000,1.0000,0.0046,0.0011,0.0000,-0.0000,0.0000,0.0229,49.7957
20.0,0.0000,0.0000,0.0000,1.0000,-0.0038,-0.0022,0.0000,-0.0000,0.0000,-0.0229,49.7651
20.5,0.0000,0.0000,0.0000,1.0000,-0.0029,0.0033,0.0000,-0.0000,0.0000,-0.0153,49.7344
