time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0033,0.0000,-0.0000,0.0000,0.0000,49.8110
0.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
1.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
1.5,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.6732
2.0,,,,,0.0012,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7344
2.5,,,,,-0.0003,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7804
3.0,,,,,-0.0006,0.0033,0.0000,-0.0000,0.0000,0.0000,49.7344
3.5,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
4.0,0.0000,0.0000,0.0000,1.0000,0.0008,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7651
4.5,0.0000,0.0000,0.0000,1.0000,0.0001,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7804
5.0,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7804
5.5,0.0000,0.0000,0.0000,1.0000,-0.0013,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.6732
6.0,0.0000,0.0000,0.0000,1.0000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
6.5,0.0000,0.0000,0.0000,1.0000,0.0003,0.0011,0.0000,-0.0000,0.0000,-0.0153,49.7344
7.0,0.0000,0.0000,0.0000,1.0000,0.0021,0.0011,0.0000,-0.0000,-0.0229,0.0000,49.7651
7.5,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,0.0000,-0.0000,0.0000,0.0153,49.7038
8.0,0.0000,0.0000,0.0000,1.0000,-0.0013,-0.0011,0.0000,-0.0000,0.0000,-0.0076,49.7651
8.5,0.0000,0.0000,0.0000,1.0000,0.0015,0.0033,0.0000,-0.0000,0.0000,0.0000,49.7344
9.0,0.0000,0.0000,0.0000,1.0000,0.0013,0.0044,0.0000,-0.0000,0.0000,0.0000,49.7344
9.5,0.0000,0.0000,0.0000,1.0000,0.0004,0.0011,0.0000,-0.0000,0.0000,-0.0229,49.7651
10.0,0.0000,0.0000,0.0000,1.0000,0.0034,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7344
10.5,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7344
11.0,0.0000,0.0000,0.0000,1.0000,0.0012,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7498
11.5,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0022,0.0000,-0.0000,0.0000,0.0000,49.7651
12.0,0.0000,0.0000,0.0000,1.0000,0.0037,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
12.5,0.0000,0.0000,0.0000,1.0000,0.0044,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7498
13.0,0.0000,0.0000,0.0000,1.0000,0.0001,-0.0033,0.0000,-0.0000,0.0000,0.0000,49.7191
13.5,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0033,0.0000,-0.0000,0.0000,0.0000,49.7191
14.0,0.0000,0.0000,0.0000,1.0000,0.0013,0.0000,0.0000,-0.0000,0.0076,0.0000,49.7651
14.5,0.0000,0.0000,0.0000,1.0000,-0.0001,0.0011,0.0000,-0.0000,0.0229,-0.0076,49.7804
15.0,0.0000,0.0000,0.0000,1.0000,0.0008,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7191
15.5,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7038
16.0,0.0000,0.0000,0.0000,1.0000,0.0025,-0.0011,0.0000,-0.0000,0.0000,0.0000,49.7344
16.5,0.0000,0.0000,0.0000,1.0000,0.0031,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7804
17.0,0.0000,0.0000,0.0000,1.0000,-0.0038,-0.0000,0.0000,-0.0000,0.0000,0.0000,49.7498
17.5,0.0000,0.0000,0.0000,1.0000,-0.0005,0.0000,0.0000,-0.0000,0.0000,0.0000,49.7191
18.0,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0022,0.0000,-0.0000,0.0000,0.0000,49.7191
